date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:36:08	138489/138489	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Sep%202024%2001:35:58%20GMT	https://sites.google.com/apps.district196.org/total-darkness/games-from-the-house/claudex	C:/My%20Web%20Sites/hi/sites.google.com/apps.district196.org/total-darkness/games-from-the-house/claudex.html	(from https://sites.google.com/apps.district196.org/total-darkness/the-house)
20:36:09	151620/151620	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Sep%202024%2001:35:59%20GMT	https://sites.google.com/apps.district196.org/total-darkness/games-from-the-house/junk-of-waste	C:/My%20Web%20Sites/hi/sites.google.com/apps.district196.org/total-darkness/games-from-the-house/junk-of-waste.html	(from https://sites.google.com/apps.district196.org/total-darkness/the-house)
20:36:09	138511/138511	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Sep%202024%2001:35:59%20GMT	https://sites.google.com/apps.district196.org/total-darkness/games-from-the-house/cem-chrome-extension-maker	C:/My%20Web%20Sites/hi/sites.google.com/apps.district196.org/total-darkness/games-from-the-house/cem-chrome-extension-maker.html	(from https://sites.google.com/apps.district196.org/total-darkness/the-house)
20:36:10	147295/147295	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Sep%202024%2001:36:00%20GMT	https://sites.google.com/apps.district196.org/total-darkness/games-from-the-house/interactive-web-console	C:/My%20Web%20Sites/hi/sites.google.com/apps.district196.org/total-darkness/games-from-the-house/interactive-web-console.html	(from https://sites.google.com/apps.district196.org/total-darkness/the-house)
20:36:10	156810/156810	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Sep%202024%2001:36:00%20GMT	https://sites.google.com/apps.district196.org/total-darkness/games-from-the-house/rolling-to-the-abyss	C:/My%20Web%20Sites/hi/sites.google.com/apps.district196.org/total-darkness/games-from-the-house/rolling-to-the-abyss.html	(from https://sites.google.com/apps.district196.org/total-darkness/the-house)
20:36:11	132000/132000	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Sep%202024%2001:36:01%20GMT	https://sites.google.com/apps.district196.org/total-darkness/games-from-the-house/demon-code-generator	C:/My%20Web%20Sites/hi/sites.google.com/apps.district196.org/total-darkness/games-from-the-house/demon-code-generator.html	(from https://sites.google.com/apps.district196.org/total-darkness/the-house)
20:36:11	126613/126613	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Sep%202024%2001:36:01%20GMT	https://sites.google.com/apps.district196.org/total-darkness/games-from-the-house/website-sim	C:/My%20Web%20Sites/hi/sites.google.com/apps.district196.org/total-darkness/games-from-the-house/website-sim.html	(from https://sites.google.com/apps.district196.org/total-darkness/the-house)
20:36:12	127254/127254	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Sep%202024%2001:36:02%20GMT	https://sites.google.com/apps.district196.org/total-darkness/games-from-the-house/bht	C:/My%20Web%20Sites/hi/sites.google.com/apps.district196.org/total-darkness/games-from-the-house/bht.html	(from https://sites.google.com/apps.district196.org/total-darkness/the-house)
20:36:12	132290/132290	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Sep%202024%2001:36:02%20GMT	https://sites.google.com/apps.district196.org/total-darkness/games-from-the-house/ai-vs-you	C:/My%20Web%20Sites/hi/sites.google.com/apps.district196.org/total-darkness/games-from-the-house/ai-vs-you.html	(from https://sites.google.com/apps.district196.org/total-darkness/the-house)
20:36:12	131513/131513	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Sep%202024%2001:36:02%20GMT	https://sites.google.com/apps.district196.org/total-darkness/games-from-the-house/hi	C:/My%20Web%20Sites/hi/sites.google.com/apps.district196.org/total-darkness/games-from-the-house/hi.html	(from https://sites.google.com/apps.district196.org/total-darkness/the-house)
20:36:13	136127/136127	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Sep%202024%2001:36:03%20GMT	https://sites.google.com/apps.district196.org/total-darkness/games-from-the-house/minesweeper	C:/My%20Web%20Sites/hi/sites.google.com/apps.district196.org/total-darkness/games-from-the-house/minesweeper.html	(from https://sites.google.com/apps.district196.org/total-darkness/the-house)
20:36:13	171015/171015	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Sep%202024%2001:36:03%20GMT	https://sites.google.com/apps.district196.org/total-darkness/games-from-the-house/minecraft-v2	C:/My%20Web%20Sites/hi/sites.google.com/apps.district196.org/total-darkness/games-from-the-house/minecraft-v2.html	(from https://sites.google.com/apps.district196.org/total-darkness/the-house)
20:36:14	132534/132534	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Sep%202024%2001:36:04%20GMT	https://sites.google.com/apps.district196.org/total-darkness/games-from-the-house/discord	C:/My%20Web%20Sites/hi/sites.google.com/apps.district196.org/total-darkness/games-from-the-house/discord.html	(from https://sites.google.com/apps.district196.org/total-darkness/the-house)
20:36:14	138307/138307	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Sep%202024%2001:36:04%20GMT	https://sites.google.com/apps.district196.org/total-darkness/games-from-the-house/every-ai-free	C:/My%20Web%20Sites/hi/sites.google.com/apps.district196.org/total-darkness/games-from-the-house/every-ai-free.html	(from https://sites.google.com/apps.district196.org/total-darkness/the-house)
20:36:15	144028/144028	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Sep%202024%2001:36:05%20GMT	https://sites.google.com/apps.district196.org/total-darkness/games-from-the-house/platform-jumper-4	C:/My%20Web%20Sites/hi/sites.google.com/apps.district196.org/total-darkness/games-from-the-house/platform-jumper-4.html	(from https://sites.google.com/apps.district196.org/total-darkness/the-house)
20:36:15	144339/144339	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Sep%202024%2001:36:05%20GMT	https://sites.google.com/apps.district196.org/total-darkness/games-from-the-house/csgo-gambling	C:/My%20Web%20Sites/hi/sites.google.com/apps.district196.org/total-darkness/games-from-the-house/csgo-gambling.html	(from https://sites.google.com/apps.district196.org/total-darkness/the-house)
